Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,Score,SB
1,5,GTM,,escocar06,Carlos Escobar,1333,W18B,W5W,W4B,W9W,W3W,L2B,W6W,6,23.5
2,1,GTM,,CivilBeast,José Sánchez,1836,U--,W17W,W11W,L6B,W12B,W1W,W4B,5,19.5
3,3,GTM,,Joan_M7,,1408,L5B,W12W,W18B,W10W,L1B,W9W,W7B,5,17
4,2,GTM,,ELIU_CHOCOJAY,A R ELIU CHOCOJAY CHACACH,1472,W22W,D11B,L1W,W8B,W6W,W5B,L2W,4.5,14.25
5,11,GTM,,Arauzandre,,922,W3W,L1B,W14W,W7W,W9B,L4W,L8B,4,16
6,9,GTM,,cayomol01,,1067,W15B,L7W,W13B,W2W,L4B,W10W,L1B,4,15
7,4,GTM,,bapt1999,,1279,W10W,W6B,L9W,L5B,W11W,W17B,L3W,4,14
8,17,GTM,,oscarxdxdxd169,Oscar Godoy,1653,U--,U--,W17B,L4W,W15W,W11B,W5W,4,13
9,7,GTM,,NetoChaves,,1114,W13B,W20W,W7B,L1B,L5W,L3B,W12W,4,11
10,12,GTM,,Andrea_BP,,843,L7B,W16W,W20B,L3B,W13W,L6B,W14B,4,10
11,8,GTM,,Tito54,,1119,W16W,D4W,L2B,W18W,L7B,L8W,W19W,3.5,9.25
12,14,GTM,,Furlan11,Guillermo Furlan,766,D17B,L3B,D22W,W14B,L2W,W19B,L9B,3,6.5
12,15,GTM,,MegaBruhh,,724,L9W,W22B,L6W,W15B,L10B,L14W,W16W,3,6.5
14,18,GTM,,Juancho502,,542,U--,W21W,L5B,L12W,W18B,W13B,L10W,3,6
15,17,GTM,,Kygo03,,497,L6W,L18W,W19B,L13W,L8B,W20B,W17W,3,5.5
16,16,GTM,,ldiego_z,,603,L11B,L10B,W21W,W20B,L17W,W18W,L13B,3,4
17,6,GTM,,Daniel-Estrada,Carlos Daniel Estrada Ramírez,875,D12W,L2B,L8W,W22B,W16B,L7W,L15B,2.5,5
18,13,GTM,,Gaspy120,,677,L1W,W15B,L3W,L11B,L14W,L16B,W20W,2,4
19,11,GTM,,marianao24,Mariana Obreg&oacute;n,589,U--,U--,L15W,W21B,W20W,L12W,L11B,2,2
20,19,GTM,,Elibennett19,,327,BYE,L9B,L10W,L16W,L19B,L15W,L18B,1,0
20,2,GTM,,XxKillerViperAmexX,RODRIGO AMENABAR VALLADARES,611,U--,L14B,L16B,L19W,BYE,U--,U--,1,0
22,10,GTM,,Jupajudi,JUAN DIEGO FAJARDO HERNANDEZ,975,L4B,L13W,D12B,L17W,U--,U--,U--,0.5,1.5
